'hood.n.01	'hood
monitor.n.07	monitor
monitor.v.01	monitor
monk.n.01	monk
monkey.n.01	monkey
monkey_business.n.01	monkey business
monkfish.n.01	monkfish
monmouth_court_house.n.01	monmouth court house
monoamine_neurotransmitter.n.01	monoamine neurotransmitter
monoamine_oxidase_inhibitor.n.01	monoamine oxidase inhibitor
monocanthidae.n.01	monocanthidae
monocanthus.n.01	monocanthus
monochamus.n.01	monochamus
monochromacy.n.01	monochromacy
monocot.n.01	monocot
monocot_family.n.01	monocot family
monocot_genus.n.01	monocot genus
monocotyledones.n.01	monocotyledones
monocotyledonous.a.01	monocotyledonous
monocyte.n.01	monocyte
monocytic_leukemia.n.01	monocytic leukemia
monodon.n.01	monodon
monodontidae.n.01	monodontidae
monogamist.n.01	monogamist
monogamy.n.01	monogamy
monogenesis.n.01	monogenesis
monogenic_disorder.n.01	monogenic disorder
monohybrid_cross.n.01	monohybrid cross
monolingual.n.01	monolingual
monologue.n.02	monologue
monologue.n.03	monologue
monologuize.v.01	monologuize
monomorium.n.01	monomorium
monongahela.n.01	monongahela
monopolist.n.01	monopolist
monopolize.v.02	monopolize
monopoly.n.01	monopoly
monopoly.n.02	monopoly
monopsony.n.01	monopsony
monosaccharide.n.01	monosaccharide
monosemy.n.01	monosemy
monosodium_glutamate.n.01	monosodium glutamate
monotheism.n.01	monotheism
monotone.n.01	monotone
monotremata.n.01	monotremata
monotreme.n.01	monotreme
monotropa.n.01	monotropa
monotropaceae.n.01	monotropaceae
monotype.n.01	monotype
monroe.n.02	monroe
monrovia.n.01	monrovia
mons.n.01	mons
monsignor.n.01	monsignor
monster.n.01	monster
monster.n.04	monster
monster.n.05	monster
monstrance.n.02	monstrance
mont_blanc.n.01	mont blanc
montana.n.01	montana
montenegro.n.01	montenegro
monterey_bay.n.01	monterey bay
montezuma_cypress.n.01	montezuma cypress
montgomery.n.03	montgomery
month.n.02	month
montia.n.01	montia
montmartre.n.01	montmartre
monumentalize.v.01	monumentalize
moo.v.01	moo
mooch.v.01	mooch
moocher.n.01	moocher
mood.n.03	mood
moodiness.n.01	moodiness
moon.v.02	moon
moonbeam.n.01	moonbeam
moonfish.n.01	moonfish
moonlight.n.01	moonlight
moonseed.n.01	moonseed
moonshine.n.02	moonshine
moonshine.v.01	moonshine
moor.v.01	moor
moor.v.02	moor
moor.v.03	moor
moorcock.n.01	moorcock
moore.n.02	moore
moore.n.06	moore
moorhen.n.01	moorhen
moorhen.n.02	moorhen
mooring.n.01	mooring
moorish.n.01	moorish
moosewood.n.01	moosewood
moot.n.01	moot
mop_handle.n.01	mop handle
mope.v.01	mope
mope.v.02	mope
moraceae.n.01	moraceae
moral.a.01	moral
moral_hazard.n.01	moral hazard
morality.n.01	morality
moralize.v.03	moralize
moralizing.n.01	moralizing
moranzanist_patriotic_front.n.01	moranzanist patriotic front
morbid.s.01	morbid
morceau.n.01	morceau
morchella.n.01	morchella
morchellaceae.n.01	morchellaceae
mordant.n.01	mordant
mordva.n.01	mordva
more.n.01	more
morel.n.01	morel
mores.n.01	mores
morgan.n.03	morgan
morgantown.n.01	morgantown
morgue.n.01	morgue
morning-after_pill.n.01	morning-after pill
morning.n.01	morning
morning_dress.n.01	morning dress
morning_glory.n.01	morning glory
morning_room.n.01	morning room
moro_islamic_liberation_front.n.01	moro islamic liberation front
moroccan.a.01	moroccan
moroccan.n.01	moroccan
morocco.n.01	morocco
morone.n.01	morone
moronity.n.01	moronity
morpheme.n.01	morpheme
morpheus.n.01	morpheus
morphine.n.01	morphine
morphogenesis.n.01	morphogenesis
morphologic.a.02	morphologic
morphology.n.01	morphology
morphology.n.02	morphology
morphology.n.03	morphology
morphology.n.04	morphology
morris.n.02	morris
morrow.n.01	morrow
morse.n.01	morse
morse.n.02	morse
morsel.n.02	morsel
mortal.a.01	mortal
mortal_sin.n.01	mortal sin
mortar_fire.n.01	mortar fire
mortician.n.01	mortician
mortification.n.04	mortification
mortify.v.01	mortify
mortify.v.02	mortify
mortise.n.01	mortise
mortise_joint.n.02	mortise joint
mortmain.n.01	mortmain
morus.n.01	morus
mosaic.n.01	mosaic
mosaic.n.06	mosaic
mosan.n.01	mosan
moschus.n.01	moschus
moscow.n.01	moscow
moshav.n.01	moshav
mosque.n.01	mosque
mosquito.n.01	mosquito
mosquito_fern.n.01	mosquito fern
mosquitofish.n.01	mosquitofish
moss.n.01	moss
moss_family.n.01	moss family
moss_genus.n.01	moss genus
mossad.n.01	mossad
mossy_saxifrage.n.01	mossy saxifrage
mosul.n.01	mosul
mot.n.02	mot
mot_juste.n.01	mot juste
motacillidae.n.01	motacillidae
motel.n.01	motel
motel_room.n.01	motel room
moth.n.01	moth
moth_bean.n.01	moth bean
moth_orchid.n.01	moth orchid
mothball.n.01	mothball
mother-in-law.n.01	mother-in-law
mother.n.01	mother
mother.v.01	mother
mother_hen.n.01	mother hen
motherhood.n.01	motherhood
motherliness.n.01	motherliness
motif.n.02	motif
motion.n.03	motion
motion.n.04	motion
motion.n.06	motion
motion_sickness.n.01	motion sickness
motionlessness.n.01	motionlessness
motivate.v.01	motivate
motivation.n.01	motivation
motivation.n.02	motivation
motivation.n.03	motivation
motivational.a.01	motivational
motley.n.03	motley
motley.v.02	motley
motor.n.01	motor
motor_area.n.01	motor area
motor_fiber.n.01	motor fiber
motor_hotel.n.01	motor hotel
motor_nerve.n.01	motor nerve
motor_neuron.n.01	motor neuron
motor_scooter.n.01	motor scooter
motor_vehicle.n.01	motor vehicle
motorbike.v.01	motorbike
motorboat.n.01	motorboat
motorcycle.n.01	motorcycle
motorist.n.01	motorist
motorization.n.01	motorization
motorize.v.01	motorize
motorize.v.02	motorize
mott.n.01	mott
mottle.v.01	mottle
mottle.v.02	mottle
mottling.n.01	mottling
motto.n.01	motto
mound.n.01	mound
mound.n.04	mound
mound.v.01	mound
mount.v.03	mount
mount.v.07	mount
mount_carmel.n.01	mount carmel
mount_saint_helens.n.01	mount saint helens
mountain.n.01	mountain
mountain_ash.n.01	mountain ash
mountain_beaver.n.01	mountain beaver
mountain_bike.n.01	mountain bike
mountain_climbing.n.01	mountain climbing
mountain_ebony.n.01	mountain ebony
mountain_lily.n.02	mountain lily
mountain_mint.n.01	mountain mint
mountain_nyala.n.01	mountain nyala
mountain_peak.n.01	mountain peak
mountain_rice.n.01	mountain rice
mountain_rimu.n.01	mountain rimu
mountain_sheep.n.01	mountain sheep
mountain_skink.n.01	mountain skink
mountaineer.n.01	mountaineer
mountaineer.v.01	mountaineer
mountainside.n.01	mountainside
mountebank.n.01	mountebank
mounter.n.02	mounter
mountie.n.01	mountie
mounting.n.02	mounting
mourn.v.01	mourn
mourn.v.02	mourn
mourner.n.01	mourner
mournfulness.n.01	mournfulness
mourning.n.01	mourning
mourning_cloak.n.01	mourning cloak
mouse-ear_chickweed.n.01	mouse-ear chickweed
mouse.n.01	mouse
mouse.n.03	mouse
mousetrap.n.02	mousetrap
mousse.n.03	mousse
mousse.v.01	mousse
mouth.n.01	mouth
mouth.n.02	mouth
mouth.v.02	mouth
mouth.v.03	mouth
mouthpiece.n.03	mouthpiece
movability.n.01	movability
movable_feast.n.01	movable feast
move.n.01	move
move.n.02	move
move.n.05	move
move.v.02	move
move.v.03	move
move.v.04	move
move.v.07	move
move.v.11	move
move.v.13	move
move.v.15	move
move.v.16	move
move_back_and_forth.v.01	move back and forth
move_involuntarily.v.01	move involuntarily
move_over.v.01	move over
movement.n.03	movement
movement.n.04	movement
movement.n.05	movement
movement.n.11	movement
mover.n.01	mover
mover.n.03	mover
mover.n.04	mover
movie.n.01	movie
movie_projector.n.01	movie projector
moviegoer.n.01	moviegoer
mow.v.01	mow
moynihan.n.01	moynihan
mozambique.n.01	mozambique
muck.v.01	muck
muckrake.v.01	muckrake
muckraker.n.01	muckraker
mucocutaneous_leishmaniasis.n.01	mucocutaneous leishmaniasis
mucopolysaccharidosis.n.01	mucopolysaccharidosis
mucoraceae.n.01	mucoraceae
mucorales.n.01	mucorales
mucous_membrane.n.01	mucous membrane
mucuna.n.01	mucuna
mucus.n.01	mucus
mud.n.01	mud
muddy.v.01	muddy
mudguard.n.01	mudguard
muffin_man.n.01	muffin man
muffle.v.02	muffle
mug.n.04	mug
mug.v.01	mug
mug_shot.n.01	mug shot
mugil.n.01	mugil
mugilidae.n.01	mugilidae
mugiloidea.n.01	mugiloidea
mugwort.n.01	mugwort
mugwump.n.02	mugwump
muharram.n.01	muharram
muhlenbergia.n.01	muhlenbergia
muishond.n.01	muishond
mujahedeen_khalq.n.01	mujahedeen khalq
mujahedeen_kompak.n.01	mujahedeen kompak
mujahid.n.01	mujahid
mujahidin-e_khalq_organization.n.01	mujahidin-e khalq organization
mujahidin.n.01	mujahidin
mujtihad.n.01	mujtihad
mukalla.n.01	mukalla
mukataa.n.01	mukataa
mulberry.n.01	mulberry
mule.n.01	mule
mule_deer.n.01	mule deer
muleteer.n.01	muleteer
mullah.n.01	mullah
mullein.n.01	mullein
mullein_pink.n.01	mullein pink
muller.n.04	muller
mullet.n.01	mullet
mullet.n.02	mullet
mullet.n.03	mullet
mullidae.n.01	mullidae
mulloidichthys.n.01	mulloidichthys
mulloway.n.01	mulloway
mullus.n.01	mullus
multidimensional_language.n.01	multidimensional language
multiflora.n.01	multiflora
multimedia.n.01	multimedia
multiple.n.01	multiple
multiple_sclerosis.n.01	multiple sclerosis
multiple_voting.n.01	multiple voting
multiplication.n.02	multiplication
multiplicative_inverse.n.01	multiplicative inverse
multiply.v.01	multiply
multiply.v.02	multiply
multistage_rocket.n.01	multistage rocket
multitude.n.02	multitude
multitude.n.03	multitude
multivariate_analysis.n.01	multivariate analysis
mumbai.n.01	mumbai
mumble.n.01	mumble
mumble.v.01	mumble
mumble.v.02	mumble
mumbling.n.01	mumbling
mumbling.n.02	mumbling
mummery.n.01	mummery
mummify.v.01	mummify
mummify.v.03	mummify
mung.n.01	mung
municipality.n.01	municipality
municipality.n.02	municipality
munificence.n.01	munificence
munition.v.01	munition
munj.n.01	munj
muntiacus.n.01	muntiacus
muntingia.n.01	muntingia
muraenidae.n.01	muraenidae
mural.n.01	mural
muralist.n.01	muralist
murder.n.01	murder
murder.v.01	murder
murder_conviction.n.01	murder conviction
murderer.n.01	murderer
muridae.n.01	muridae
murmansk.n.01	murmansk
murmur.v.01	murmur
murmur.v.02	murmur
muroidea.n.01	muroidea
murray.n.02	murray
murre.n.01	murre
mus.n.01	mus
musa.n.01	musa
musaceae.n.01	musaceae
musales.n.01	musales
musca.n.02	musca
muscadine.n.01	muscadine
muscardinus.n.01	muscardinus
muscari.n.01	muscari
muscat.n.02	muscat
muscat.n.03	muscat
muscat.n.04	muscat
muscicapa.n.01	muscicapa
muscicapidae.n.01	muscicapidae
muscidae.n.01	muscidae
muscivora.n.01	muscivora
muscle.n.01	muscle
muscle.n.02	muscle
muscle.n.04	muscle
muscle.v.01	muscle
muscle_cell.n.01	muscle cell
muscle_relaxant.n.01	muscle relaxant
muscleman.n.01	muscleman
muscular_dystrophy.n.01	muscular dystrophy
muscular_structure.n.01	muscular structure
musculoskeletal_system.n.01	musculoskeletal system
musculus_articularis_cubiti.n.01	musculus articularis cubiti
musculus_articularis_genus.n.01	musculus articularis genus
muse.n.01	muse
muse.n.02	muse
muser.n.01	muser
museum.n.01	museum
mush.n.02	mush
music.n.01	music
music.n.02	music
music.n.03	music
music.n.04	music
music_genre.n.01	music genre
musical.a.03	musical
musical.n.01	musical
musical_arrangement.n.01	musical arrangement
musical_composition.n.01	musical composition
musical_instrument.n.01	musical instrument
musical_notation.n.01	musical notation
musical_organization.n.01	musical organization
musical_performance.n.01	musical performance
musical_time.n.01	musical time
musicality.n.01	musicality
musician.n.01	musician
musician.n.02	musician
musicianship.n.01	musicianship
musicology.n.01	musicology
musket.n.01	musket
musketeer.n.01	musketeer
musketry.n.01	musketry
muskhogean.n.01	muskhogean
muskhogean.n.02	muskhogean
muskiness.n.01	muskiness
muskmelon.n.02	muskmelon
muskrat.n.02	muskrat
muslim.a.01	muslim
muslim.n.01	muslim
muslin.n.01	muslin
musophagidae.n.01	musophagidae
muss.v.01	muss
mussel.n.02	mussel
mussorgsky.n.01	mussorgsky
mustache.n.01	mustache
mustard.n.01	mustard
mustard.n.02	mustard
mustard_gas.n.01	mustard gas
mustard_seed.n.01	mustard seed
mustela.n.01	mustela
mustelidae.n.01	mustelidae
musteline_mammal.n.01	musteline mammal
mustelus.n.01	mustelus
muster.n.01	muster
muster.v.01	muster
muster.v.02	muster
muster_call.n.01	muster call
muster_roll.n.01	muster roll
mutability.n.01	mutability
mutant.a.01	mutant
mutant.n.01	mutant
mutant.n.02	mutant
mutate.v.01	mutate
mutation.n.02	mutation
mutational.a.01	mutational
mutawa'een.n.01	mutawa'een
mute.n.02	mute
muteness.n.02	muteness
mutilate.v.01	mutilate
mutilate.v.03	mutilate
mutilation.n.01	mutilation
mutilator.n.01	mutilator
mutillidae.n.01	mutillidae
mutineer.n.01	mutineer
mutiny.n.01	mutiny
mutiny.v.01	mutiny
mutter.n.01	mutter
mutterer.n.01	mutterer
mutual_fund.n.02	mutual fund
mutuality.n.02	mutuality
muzhik.n.01	muzhik
muztag.n.01	muztag
muzzle.v.01	muzzle
muzzle_loader.n.01	muzzle loader
mya.n.01	mya
myaceae.n.01	myaceae
myacidae.n.01	myacidae
myanmar.n.01	myanmar
myanmar_monetary_unit.n.01	myanmar monetary unit
mycelia_sterilia.n.01	mycelia sterilia
mycenae.n.01	mycenae
mycobacteria.n.01	mycobacteria
mycoplasma.n.01	mycoplasma
mycteria.n.01	mycteria
mycteroperca.n.01	mycteroperca
mydriasis.n.01	mydriasis
myelin.n.01	myelin
myelinization.n.01	myelinization
myeloblast.n.01	myeloblast
myelocyte.n.01	myelocyte
myelocytic_leukemia.n.01	myelocytic leukemia
mylanta.n.01	mylanta
myliobatidae.n.01	myliobatidae
mylodontidae.n.01	mylodontidae
myna.n.01	myna
myocastor.n.01	myocastor
myofibril.n.01	myofibril
myoglobin.n.01	myoglobin
myoma.n.01	myoma
myomorpha.n.01	myomorpha
myopia.n.01	myopia
myopus.n.01	myopus
myositis.n.01	myositis
myosotis.n.01	myosotis
myotis.n.01	myotis
myotonia.n.01	myotonia
myrciaria.n.01	myrciaria
myriagram.n.01	myriagram
myriameter.n.01	myriameter
myrica.n.01	myrica
myricaceae.n.01	myricaceae
myricales.n.01	myricales
myricaria.n.01	myricaria
myriophyllum.n.01	myriophyllum
myristica.n.01	myristica
myristicaceae.n.01	myristicaceae
myrmecobius.n.01	myrmecobius
myrmecophaga.n.01	myrmecophaga
myrmecophagidae.n.01	myrmecophagidae
myrmeleon.n.01	myrmeleon
myrmeleontidae.n.01	myrmeleontidae
myroxylon.n.01	myroxylon
myrrh_tree.n.01	myrrh tree
myrrhis.n.01	myrrhis
myrsinaceae.n.01	myrsinaceae
myrsine.n.01	myrsine
myrtaceae.n.01	myrtaceae
myrtales.n.01	myrtales
myrtillocactus.n.01	myrtillocactus
myrtle_warbler.n.01	myrtle warbler
myrtus.n.01	myrtus
mysidacea.n.01	mysidacea
mysidae.n.01	mysidae
mysore.n.01	mysore
mysore_thorn.n.01	mysore thorn
mystery.n.01	mystery
mystic.a.02	mystic
mystic.a.03	mystic
mystic.n.01	mystic
mysticeti.n.01	mysticeti
mysticism.n.01	mysticism
mysticism.n.02	mysticism
mystification.n.02	mystification
mystification.n.03	mystification
mystify.v.02	mystify
myth.n.01	myth
mythical_being.n.01	mythical being
mythical_monster.n.01	mythical monster
mythologization.n.01	mythologization
mythologize.v.01	mythologize
mythologize.v.02	mythologize
mythology.n.01	mythology
mythology.n.02	mythology
mytilidae.n.01	mytilidae
mytilus.n.01	mytilus
myxinidae.n.01	myxinidae
myxiniformes.n.01	myxiniformes
myxobacteria.n.01	myxobacteria
myxocephalus.n.01	myxocephalus
myxomycetes.n.01	myxomycetes
myxomycota.n.01	myxomycota
myxophyceae.n.01	myxophyceae
n'djamena.n.01	n'djamena
na-dene.n.01	na-dene
nabalus.n.01	nabalus
nabumetone.n.01	nabumetone
nadir.n.02	nadir
nadolol.n.01	nadolol
naemorhedus.n.01	naemorhedus
nag.v.01	nag
nagami.n.01	nagami
nagano.n.01	nagano
nagasaki.n.01	nagasaki
nageia.n.01	nageia
nagoya.n.01	nagoya
naha_city.n.01	naha city
nahuatl.n.01	nahuatl
naiad.n.01	naiad
naiadaceae.n.01	naiadaceae
naiadales.n.01	naiadales
naias.n.01	naias
nail.n.01	nail
nail.n.02	nail
nail.v.01	nail
nail_down.v.01	nail down
naive.a.01	naive
naivete.n.01	naivete
naja.n.01	naja
nakedness.n.01	nakedness
naloxone.n.01	naloxone
name.n.01	name
name.n.03	name
name.n.06	name
name.v.01	name
name.v.02	name
name.v.03	name
name.v.05	name
name_calling.n.01	name calling
name_dropper.n.01	name dropper
namedrop.v.01	namedrop
namer.n.01	namer
namesake.n.01	namesake
namibia.n.01	namibia
naming.n.01	naming
namur.n.01	namur
nan.n.01	nan
nan_ling.n.01	nan ling
nanchang.n.01	nanchang
nanda_devi.n.01	nanda devi
nandrolone.n.01	nandrolone
nanga_parbat.n.01	nanga parbat
nanjing.n.01	nanjing
nanning.n.01	nanning
nanny.n.01	nanny
nanny.n.02	nanny
nanometer.n.01	nanometer
nansen.n.01	nansen
nantes.n.01	nantes
nap.n.04	nap
nap.v.01	nap
napaea.n.01	napaea
nape.n.01	nape
naphazoline.n.01	naphazoline
naphtha.n.01	naphtha
napkin.n.01	napkin
naples.n.01	naples
napoleon.n.01	napoleon
napoleonic_wars.n.01	napoleonic wars
naproxen.n.01	naproxen
naproxen_sodium.n.01	naproxen sodium
narcissus.n.01	narcissus
narcoterrorism.n.01	narcoterrorism
narcotic.n.01	narcotic
narcotic_antagonist.n.01	narcotic antagonist
naris.n.01	naris
nark.n.01	nark
narragansett_bay.n.01	narragansett bay
narrate.v.01	narrate
narration.n.02	narration
narration.n.03	narration
narrative.n.01	narrative
narrator.n.01	narrator
narrow-leaved_flame_flower.n.01	narrow-leaved flame flower
narrow-mindedness.n.01	narrow-mindedness
narrow.a.01	narrow
narrow.n.01	narrow
narrow.v.01	narrow
narrowing.n.01	narrowing
narthecium.n.01	narthecium
narthex.n.02	narthex
narwhal.n.01	narwhal
nasal.n.02	nasal
nasal_cavity.n.01	nasal cavity
nasal_decongestant.n.01	nasal decongestant
nasality.n.01	nasality
nasalization.n.01	nasalization
nasalize.v.01	nasalize
nasalize.v.02	nasalize
nascent.a.01	nascent
nasopharynx.n.01	nasopharynx
nastiness.n.03	nastiness
nasturtium.n.01	nasturtium
nasturtium.n.02	nasturtium
nasturtium.n.03	nasturtium
nasty.a.01	nasty
nasua.n.01	nasua
natal.n.01	natal
natal.n.02	natal
natal_plum.n.01	natal plum
natantia.n.01	natantia
naticidae.n.01	naticidae
nation.n.02	nation
nation.n.04	nation
national.n.01	national
national_bank.n.01	national bank
national_capital.n.01	national capital
national_climatic_data_center.n.01	national climatic data center
national_geospatial-intelligence_agency.n.01	national geospatial-intelligence agency
national_guard.n.01	national guard
national_guard_bureau.n.01	national guard bureau
national_institute_of_justice.n.01	national institute of justice
national_institute_of_standards_and_technology.n.01	national institute of standards and technology
national_institutes_of_health.n.01	national institutes of health
national_liberation_army.n.01	national liberation army
national_liberation_army.n.02	national liberation army
national_liberation_front_of_corsica.n.01	national liberation front of corsica
national_oceanic_and_atmospheric_administration.n.01	national oceanic and atmospheric administration
national_park.n.01	national park
national_park_service.n.01	national park service
national_reconnaissance_office.n.01	national reconnaissance office
national_security_agency.n.01	national security agency
national_service.n.01	national service
national_technical_information_service.n.01	national technical information service
national_trust.n.01	national trust
national_weather_service.n.01	national weather service
nationalism.n.04	nationalism
nationalist.n.02	nationalist
nationalist_leader.n.01	nationalist leader
nationality.n.01	nationality
nationalization.n.03	nationalization
nationalize.v.01	nationalize
nationalize.v.02	nationalize
native.a.01	native
native.a.03	native
native.n.01	native
native.n.02	native
native_cranberry.n.01	native cranberry
native_pear.n.01	native pear
nativeness.n.01	nativeness
nativism.n.02	nativism
natrix.n.01	natrix
natural_childbirth.n.01	natural childbirth
natural_depression.n.01	natural depression
natural_elevation.n.01	natural elevation
natural_family_planning.n.01	natural family planning
natural_fiber.n.01	natural fiber
natural_gas.n.01	natural gas
natural_glass.n.01	natural glass
natural_language.n.01	natural language
natural_language_processing.n.01	natural language processing
natural_object.n.01	natural object
natural_order.n.01	natural order
natural_process.n.01	natural process
natural_resin.n.01	natural resin
natural_science.n.01	natural science
natural_virtue.n.01	natural virtue
naturalist.n.02	naturalist
naturalization.n.01	naturalization
naturalization.n.02	naturalization
naturalization.n.03	naturalization
naturalize.v.01	naturalize
naturalize.v.04	naturalize
naturalness.n.01	naturalness
nature.n.03	nature
nature.n.04	nature
nauclea.n.01	nauclea
naucrates.n.01	naucrates
nauru.n.01	nauru
nauru.n.02	nauru
nausea.n.01	nausea
nausea.n.02	nausea
nautch.n.01	nautch
nautical_linear_unit.n.01	nautical linear unit
nautical_mile.n.01	nautical mile
nautical_mile.n.02	nautical mile
nautilus.n.01	nautilus
navaho.n.02	navaho
naval_academy.n.01	naval academy
naval_air_warfare_center_weapons_division.n.01	naval air warfare center weapons division
naval_attache.n.01	naval attache
naval_battle.n.01	naval battle
naval_brass.n.01	naval brass
naval_commander.n.01	naval commander
naval_installation.n.01	naval installation
naval_officer.n.01	naval officer
naval_research_laboratory.n.01	naval research laboratory
naval_special_warfare.n.01	naval special warfare
naval_surface_warfare_center.n.01	naval surface warfare center
naval_underwater_warfare_center.n.01	naval underwater warfare center
naval_unit.n.01	naval unit
naval_weaponry.n.01	naval weaponry
navel.n.01	navel
navigate.v.02	navigate
navigate.v.03	navigate
navigation.n.01	navigation
navigation.n.02	navigation
navigational.a.01	navigational
navigational_instrument.n.01	navigational instrument
navigational_system.n.01	navigational system
navigator.n.03	navigator
navy.n.01	navy
navy_cross.n.01	navy cross
navy_seal.n.01	navy seal
navy_yard.n.01	navy yard
naysayer.n.01	naysayer
nazi.n.01	nazi
nazify.v.01	nazify
nazism.n.01	nazism
neandertal_man.n.01	neandertal man
neanderthal.a.02	neanderthal
near.a.01	near
nearby.s.01	nearby
nearness.n.01	nearness
nearside.n.01	nearside
nebraska.n.01	nebraska
nebuchadnezzar.n.01	nebuchadnezzar
nebula.n.03	nebula
nebula.n.04	nebula
necessary.a.01	necessary
necessitarian.n.01	necessitarian
necessitate.v.01	necessitate
necessity.n.01	necessity
necessity.n.02	necessity
neck.n.01	neck
neck.n.02	neck
neck.n.05	neck
neck.v.01	neck
neckar.n.01	neckar
necklace.n.01	necklace
necklace_tree.n.01	necklace tree
neckline.n.01	neckline
neckpiece.n.01	neckpiece
necktie.n.01	necktie
necrobiosis.n.01	necrobiosis
necromancy.n.02	necromancy
necromantic.a.01	necromantic
necrose.v.01	necrose
necrosis.n.01	necrosis
nectarine.n.01	nectarine
necturus.n.01	necturus
need.n.01	need
need.n.02	need
needle.n.03	needle
needle.v.01	needle
needlebush.n.01	needlebush
needlefish.n.01	needlefish
needlewood.n.01	needlewood
needlework.n.01	needlework
needleworker.n.01	needleworker
neem.n.01	neem
neem_seed.n.01	neem seed
nefariousness.n.01	nefariousness
nefazodone.n.01	nefazodone
nefud.n.01	nefud
negaprion.n.01	negaprion
negate.v.03	negate
negation.n.02	negation
negative.a.01	negative
negative.a.02	negative
negative.n.01	negative
negative_stimulus.n.01	negative stimulus
negativity.n.02	negativity
negev.n.01	negev
neglect.v.01	neglect
neglect.v.03	neglect
neglect.v.04	neglect
neglect_of_duty.n.01	neglect of duty
neglecter.n.01	neglecter
negligee.n.01	negligee
negligence.n.01	negligence
negligence.n.02	negligence
negligent.a.01	negligent
negociate.v.05	negociate
negociate.v.06	negociate
negotiable_instrument.n.01	negotiable instrument
negotiation.n.01	negotiation
negotiator.n.01	negotiator
negress.n.01	negress
negro_peach.n.01	negro peach
nehemiah.n.01	nehemiah
neigh.n.01	neigh
neigh.v.01	neigh
neighbor.n.01	neighbor
neighbor.n.02	neighbor
neighbor.v.01	neighbor
neighbor.v.02	neighbor
neighborhood.n.02	neighborhood
nejd.n.01	nejd
nelson.n.01	nelson
nelumbo.n.01	nelumbo
nelumbonaceae.n.01	nelumbonaceae
nematocera.n.01	nematocera
nematoda.n.01	nematoda
nematode.n.01	nematode
nemertea.n.01	nemertea
neoclassicism.n.01	neoclassicism
neodymium.n.01	neodymium
neofiber.n.01	neofiber
neolithic_age.n.01	neolithic age
neologism.n.01	neologism
neomycin.n.01	neomycin
neomys.n.01	neomys
neon.n.01	neon
neonatal_mortality.n.01	neonatal mortality
neonate.n.01	neonate
neopallium.n.01	neopallium
neophron.n.01	neophron
neosho.n.01	neosho
neostigmine.n.01	neostigmine
neotoma.n.01	neotoma
nepal.n.01	nepal
nepalese.n.01	nepalese
nepenthaceae.n.01	nepenthaceae
nepenthes.n.01	nepenthes
nepeta.n.01	nepeta
nephelium.n.01	nephelium
nephritis.n.01	nephritis
nephron.n.01	nephron
nephropsidae.n.01	nephropsidae
nepidae.n.01	nepidae
neritic_zone.n.01	neritic zone
neritid.n.01	neritid
neritidae.n.01	neritidae
nerium.n.01	nerium
nerve.n.01	nerve
nerve_cell.n.01	nerve cell
nerve_ending.n.01	nerve ending
nerve_fiber.n.01	nerve fiber
nerve_pathway.n.01	nerve pathway
nerve_plexus.n.01	nerve plexus
nerves.n.02	nerves
nervous_disorder.n.01	nervous disorder
nervous_system.n.01	nervous system
nervous_tissue.n.01	nervous tissue
nervousness.n.02	nervousness
nervousness.n.03	nervousness
nesokia.n.01	nesokia
nest.n.01	nest
nest.n.04	nest
nest.v.01	nest
nest.v.02	nest
nest.v.04	nest
nestle.v.03	nestle
nestor.n.02	nestor
net.n.02	net
net.n.04	net
net.n.06	net
net.v.01	net
net.v.02	net
net_income.n.01	net income
net_melon.n.01	net melon
net_melon.n.02	net melon
netherlander.n.01	netherlander
netherlands.n.01	netherlands
netherlands_antilles.n.01	netherlands antilles
nettle.n.01	nettle
nettle.v.01	nettle
network.n.01	network
network.n.04	network
network.n.05	network
network.v.01	network
neural_network.n.02	neural network
neural_structure.n.01	neural structure
neuralgia.n.01	neuralgia
neuritis.n.01	neuritis
neuroepithelium.n.01	neuroepithelium
neurogenesis.n.01	neurogenesis
neuroglia.n.01	neuroglia
neurogliacyte.n.01	neurogliacyte
neurologist.n.01	neurologist
neurology.n.01	neurology
neurology.n.02	neurology
neuromuscular_blocking_agent.n.01	neuromuscular blocking agent
neurophysiology.n.01	neurophysiology
neuropil.n.01	neuropil
neuroptera.n.01	neuroptera
neuropteron.n.01	neuropteron
neuroscience.n.01	neuroscience
neurosis.n.01	neurosis
neurosyphilis.n.01	neurosyphilis
neurotic.a.02	neurotic
neurotic.n.01	neurotic
neurotoxin.n.01	neurotoxin
neurotransmitter.n.01	neurotransmitter
neurotrichus.n.01	neurotrichus
neuter.n.01	neuter
neutering.n.01	neutering
neutral.n.01	neutral
neutral_spirits.n.01	neutral spirits
neutralist.n.01	neutralist
neutralization.n.01	neutralization
neutralization.n.02	neutralization
neutralization.n.04	neutralization
neutralize.v.01	neutralize
neutralize.v.02	neutralize
neutralize.v.04	neutralize
neutralize.v.06	neutralize
neutrophil.n.01	neutrophil
nevada.n.01	nevada
nevis.n.01	nevis
nevoid_elephantiasis.n.01	nevoid elephantiasis
new.a.01	new
new_brunswick.n.02	new brunswick
new_dealer.n.01	new dealer
new_england.n.01	new england
new_english_bible.n.01	new english bible
new_guinea.n.01	new guinea
new_hampshire.n.01	new hampshire
new_haven.n.01	new haven
new_jersey.n.01	new jersey
new_mexico.n.01	new mexico
new_netherland.n.01	new netherland
new_orleans.n.01	new orleans
new_people's_army.n.01	new people's army
new_river.n.01	new river
