'hood.n.01	(slang) a neighborhood
jail_bird.n.01	a criminal who has been jailed repeatedly
jail_delivery.n.01	the use of force to liberate prisoners
jainist.n.01	a believer in Jainism
jaish-i-mohammed.n.01	a terrorist organization founded in 2000; a militant Islamic group active in Kashmir and closely aligned with al-Rashid Trust; seeks to secure release of imprisoned fellow militants by kidnappings
jalapeno.n.02	hot green or red pepper of southwestern United States and Mexico
jam.n.01	preserve of crushed fruit
jam.v.04	interfere with or prevent the reception of signals
jam.v.06	crowd or pack to capacity
jamaat_ul-fuqra.n.01	an Islamic terrorist group organized in the 1980s; seeks to purify Islam through violence; the cells in North America and the Caribbean insulate themselves from Western culture and will even attack other Muslims who they regard as heretics
jamaica.n.01	a country on the island of Jamaica; became independent of England in 1962; much poverty; the major industry is tourism
jamaica_dogwood.n.01	small tree of West Indies and Florida having large odd-pinnate leaves and panicles of red-striped purple to white flowers followed by decorative curly winged seedpods; yields fish poisons
jamaica_honeysuckle.n.01	West Indian passionflower; cultivated for its yellow edible fruit
jamaica_quassia.n.02	West Indian tree yielding the drug Jamaica quassia
jamaican_cherry.n.01	a fast-growing tropical American evergreen having white flowers and white fleshy edible fruit; bark yields a silky fiber used in cordage and wood is valuable for staves
jambos.n.01	used in some classifications for rose apples (Eugenia jambos)
james.n.03	the first Stuart to be king of England and Ireland from 1603 to 1625 and king of Scotland from 1567 to 1625; he was the son of Mary Queen of Scots and he succeeded Elizabeth I; he alienated the British Parliament by claiming the divine right of kings (1566-1625)
james.n.04	United States outlaw who fought as a Confederate soldier and later led a band of outlaws that robbed trains and banks in the West until he was murdered by a member of his own gang (1847-1882)
james.n.07	(New Testament) disciple of Jesus; brother of John; author of the Epistle of James in the New Testament
james.n.08	a river in Virginia that flows east into Chesapeake Bay at Hampton Roads
james.n.09	a river that rises in North Dakota and flows southward across South Dakota to the Missouri
jamestown.n.01	a former village on the James River in Virginia to the north of Norfolk; site of the first permanent English settlement in America in 1607
jamming.n.01	deliberate radiation or reflection of electromagnetic energy for the purpose of disrupting enemy use of electronic devices or systems
jansen.n.01	a Dutch Roman Catholic theologian (1585-1638)
january.n.01	the first month of the year; begins 10 days after the winter solstice
jap.n.01	(offensive slang) offensive term for a person of Japanese descent
japan.n.01	a string of more than 3,000 islands to the east of Asia extending 1,300 miles between the Sea of Japan and the western Pacific Ocean
japan.n.02	a constitutional monarchy occupying the Japanese Archipelago; a world leader in electronics and automobile manufacture and ship building
japan_allspice.n.01	deciduous Japanese shrub cultivated for its fragrant yellow flowers
japanese.n.01	a native or inhabitant of Japan
japanese.n.02	the language (usually considered to be Altaic) spoken by the Japanese
japanese_beetle.n.01	small metallic green and brown beetle native to eastern Asia; serious plant pest in North America
japanese_bittersweet.n.01	ornamental Asiatic vine with showy orange-yellow fruit with a scarlet aril; naturalized in North America
japanese_cedar.n.01	tall evergreen of Japan and China yielding valuable soft wood
japanese_clover.n.01	an annual of tropical Asia naturalized in United States
japanese_deer.n.01	small deer of Japan with slightly forked antlers
japanese_deity.n.01	a deity worshipped by the Japanese
japanese_linden.n.01	medium-sized tree of Japan used as an ornamental
japanese_millet.n.01	coarse annual grass cultivated in Japan and southeastern Asia for its edible seeds and for forage; important wildlife food in United States
japanese_oak.n.01	oak with moderately light fine-grained wood; Japan
japanese_pagoda_tree.n.01	handsome roundheaded deciduous tree having compound dark green leaves and profuse panicles of fragrant creamy-white flowers; China and Japan
japanese_persimmon.n.01	small deciduous Asiatic tree bearing large red or orange edible astringent fruit
japanese_poinsettia.n.01	showy poinsettia found from the southern United States to Peru
japanese_red_army.n.01	a terrorist group organized in 1970 to overthrow the Japanese government and monarchy and to foment world revolution; is said to have close ties with Palestinian terrorists
jar.n.01	a vessel (usually cylindrical) with a wide mouth and without handles
jar.v.05	place in a cylindrical vessel
jargon.n.03	specialized technical terminology characteristic of a particular subject
jasmine.n.01	any of several shrubs and vines of the genus Jasminum chiefly native to Asia
jasminum.n.01	shrubs and woody climbers mostly of tropical and temperate Old World: jasmine; jessamine
jat.n.01	a member of an Indo-European people widely scattered throughout the northwest of the Indian subcontinent and consisting of Muslims and Hindus and Sikhs
jatropha.n.01	a mainly tropical genus of American plant belonging to the family Euphorbiaceae
jaundice.n.01	yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia
jaundice.v.01	distort adversely
jauntiness.n.01	stylishness as evidenced by a smart appearance
java.n.01	an island in Indonesia to the south of Borneo; one of the world's most densely populated regions
java_sparrow.n.01	small finch-like Indonesian weaverbird that frequents rice fields
jaw.n.01	the part of the skull of a vertebrate that frames the mouth and holds the teeth
jaw.n.02	the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth
jaw.n.03	holding device consisting of one or both of the opposing parts of a tool that close to hold an object
jawless_vertebrate.n.01	eel-shaped vertebrate without jaws or paired appendages including the cyclostomes and some extinct forms
jay.n.02	crested largely blue bird
jayshullah.n.01	an indigenous Islamic terrorist group in Azerbaijan that attempted to bomb the United States embassy in 1999
jaywalk.v.01	cross the road at a red light
jazz.n.02	a genre of popular music that originated in New Orleans around 1900 and developed through increasingly complex styles
jazz_musician.n.01	a musician who plays or composes jazz music
jazz_up.v.01	make more interesting or lively
jean.n.01	(usually plural) close-fitting trousers of heavy denim for manual work or casual wear
jebel_musa.n.01	a promontory in northern Morocco opposite the Rock of Gibraltar; one of the Pillars of Hercules
jeddah.n.01	port city in western Saudi Arabia on the Red Sea; near Mecca
jeep.n.01	a car suitable for traveling over rough terrain
jeer.n.01	showing your contempt by derision
jeer.v.01	laugh at with contempt and derision
jefferson.n.01	3rd President of the United States; chief drafter of the Declaration of Independence; made the Louisiana Purchase in 1803 and sent out the Lewis and Clark Expedition to explore it (1743-1826)
jeffersonian.a.01	relating to or characteristic of Thomas Jefferson or his principles or theories
jeffrey_pine.n.01	tall symmetrical pine of western North America having long blue-green needles in bunches of 3 and elongated cones on spreading somewhat pendulous branches; sometimes classified as a variety of ponderosa pine
jell.v.01	become gelatinous
jellify.v.02	make into jelly
jelly.n.02	a preserve made of the jelled juice of fruit
jelly.n.03	any substance having the consistency of jelly or gelatin
jelly_fungus.n.01	any fungus of the order Tremellales or Auriculariales whose fruiting body is jellylike in consistency when fresh
jellyfish.n.02	any of numerous usually marine and free-swimming coelenterates that constitute the sexually reproductive forms of hydrozoans and scyphozoans
jemaah_islamiyah.n.01	a clandestine group of southeast Asian terrorists organized in 1993 and trained by al-Qaeda; supports militant Muslims in Indonesia and the Philippines and has cells in Singapore and Malaysia and Indonesia
jena.n.01	the battle in 1806 in which Napoleon decisively defeated the Prussians
jenner.n.01	English physician who pioneered vaccination; Jenner inoculated people with small amounts of cowpox to prevent them from getting smallpox (1749-1823)
jennet.n.01	female donkey
jerboa.n.01	mouselike jumping rodent
jerez.n.01	a city in southwestern Spain that is famous for making sherry
jerk.n.01	a dull stupid fatuous person
jerk.n.02	an abrupt spasmodic movement
jerk.v.02	move with abrupt, seemingly uncontrolled motions
jerk.v.05	throw or toss with a quick motion
jerome.n.01	(Roman Catholic Church) one of the great Fathers of the early Christian Church whose major work was his translation of the Scriptures from Hebrew and Greek into Latin (which became the Vulgate); a saint and Doctor of the Church (347-420)
jersey.n.03	a close-fitting pullover shirt
jersey.n.05	a breed of diary cattle developed on the island of Jersey
jersey_city.n.01	a city in northeastern New Jersey (opposite Manhattan)
jersey_elm.n.01	a variety of the English elm with erect branches and broader leaves
jerusalem.n.01	capital and largest city of the modern state of Israel (although its status as capital is disputed); it was captured from Jordan in 1967 in the Six Day War; a holy city for Jews and Christians and Muslims; was the capital of an ancient kingdom
jerusalem_artichoke.n.02	tall perennial with hairy stems and leaves; widely cultivated for its large irregular edible tubers
jerusalem_thorn.n.03	large shrub or shrubby tree having sharp spines and pinnate leaves with small deciduous leaflets and sweet-scented racemose yellow-orange flowers; grown as ornamentals or hedging or emergency food for livestock; tropical America but naturalized in southern United States
jerusalem_warriors.n.01	ethnic Turkish Sunni terrorists who are linked with the Turkish Hizballah; killed a United States Air Force sergeant in 1991
jest.n.02	activity characterized by good humor
jester.n.01	a professional clown employed to entertain a king or nobleman in the Middle Ages
jesuit.n.01	a member of the Jesuit order
jesus.n.01	a teacher and prophet born in Bethlehem and active in Nazareth; his life and sermons form the basis for Christianity (circa 4 BC - AD 29)
jet.n.01	an airplane powered by one or more jet engines
jet.n.02	the occurrence of a sudden discharge (as of liquid)
jet.v.01	issue in a jet; come out in a jet; stream or spring forth
jet.v.02	fly a jet plane
jet_engine.n.01	a gas turbine produces a stream of hot gas that propels a jet plane by reaction propulsion
jettison.v.01	throw away, of something encumbering
jeu_d'esprit.n.01	a witty comment or writing
jew's-ear.n.01	widely distributed edible fungus shaped like a human ear and growing on decaying wood
jew.n.01	a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties
jewbush.n.01	low tropical American shrub having powerful emetic properties
jewel.n.01	a precious or semiprecious stone incorporated into a piece of jewelry
jewel.n.02	a person who is as brilliant and precious as a piece of jewelry
jeweler.n.02	someone in the business of selling jewelry
jewelled_headdress.n.01	a headdress adorned with jewels
jewelry.n.01	an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
jewelry_maker.n.01	someone who makes jewelry
jewelweed.n.01	North American annual plant with usually yellow or orange flowers; grows chiefly on wet rather acid soil
jewess.n.01	a woman who is a Jew
jewish_calendar.n.01	(Judaism) the calendar used by the Jews; dates from 3761 BC (the assumed date of the Creation of the world); a lunar year of 354 days is adjusted to the solar year by periodic leap years
jewish_calendar_month.n.01	a month in the Jewish calendar
jewish_holy_day.n.01	a religious holiday for Jews
jewish_rye_bread.n.01	(Judaism) bread made with rye flour; usually contains caraway seeds
jewry.n.01	Jews collectively
jib.n.01	any triangular fore-and-aft sail (set forward of the foremast)
jig.v.01	dance a quick dance with leaping and kicking motions
jiggle.v.01	move to and fro
jihad.n.02	a holy struggle or striving by a Muslim for a moral or spiritual or political goal
jihadist.n.01	a Muslim who is involved in a jihad
jimdandy.n.01	someone excellent of their kind
jimenez_de_cisneros.n.01	prelate who was the confessor of Isabella I and who was later appointed Grand Inquisitor (1436-1517)
jimmy.n.01	a short crowbar
jimsonweed.n.01	intensely poisonous tall coarse annual tropical weed having rank-smelling foliage, large white or violet trumpet-shaped flowers and prickly fruits
jingle.v.01	make a sound typical of metallic objects
jinks.n.01	noisy and mischievous merrymaking
jiqui.n.01	Cuban timber tree with hard wood very resistant to moisture
jirga.n.01	a Pashto term for a decision making assembly of male elders
jitters.n.01	extreme nervousness
jive.v.01	dance to jive music; dance the jive
joao_pessoa.n.01	a city in northeastern Brazil near the Atlantic Ocean to the north of Recife
job.n.02	a specific piece of work required to be done as a duty or for a specific fee
job.n.03	a workplace; as in the expression "on the job";
job.n.04	an object worked on; a result produced by working
job.n.12	a book in the Old Testament containing Job's pleas to God about his afflictions and God's reply
job.v.03	work occasionally
jobber.n.01	someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers
jobcentre.n.01	a government office in a town where information about available jobs is displayed and where unemployment benefits are administered
jockey_club.n.01	a club to promote and regulate horse racing
jocoseness.n.01	the trait of merry joking
jodhpurs.n.01	flared trousers ending at the calves; worn with riding boots
joe-pye_weed.n.01	North American herb having whorled leaves and terminal clusters of flowers spotted with purple
joe-pye_weed.n.02	North American herb having whorled leaves and terminal clusters of small pinkish or purple flower heads
jog.n.02	a slow pace of running
jog.v.03	run for exercise
joggle.v.02	fasten or join with a joggle
john.n.02	youngest son of Henry II; King of England from 1199 to 1216; succeeded to the throne on the death of his brother Richard I; lost his French possessions; in 1215 John was compelled by the barons to sign the Magna Carta (1167-1216)
john.n.03	(New Testament) disciple of Jesus; traditionally said to be the author of the 4th Gospel and three epistles and the book of Revelation
john.n.05	the last of the four Gospels in the New Testament
john_chrysostom.n.01	(Roman Catholic Church) a Church Father who was a great preacher and bishop of Constantinople; a saint and Doctor of the Church (347-407)
john_doe.n.01	a hypothetical average man
john_paul_i.n.01	the first Pope to assume a double name; he reigned for only 34 days (1912-1978)
john_paul_ii.n.01	the first Pope born in Poland; the first Pope not born in Italy in 450 years (1920-2005)
john_the_baptist.n.01	(New Testament) a preacher and hermit and forerunner of Jesus (whom he baptized); was beheaded by Herod at the request of Salome
john_xxiii.n.01	Italian pope from 1958 to 1963 who convoked the Second Vatican Council (1881-1963)
johnnycake.n.01	cornbread usually cooked pancake-style on a griddle (chiefly New England)
johnson.n.01	English writer and lexicographer (1709-1784)
johnson.n.02	36th President of the United States; was elected vice president and succeeded Kennedy when Kennedy was assassinated (1908-1973)
johnson.n.03	17th President of the United States; was elected vice president and succeeded Lincoln when Lincoln was assassinated; was impeached but acquitted by one vote (1808-1875)
join.v.01	become part of; become a member of a group or organization
join.v.02	cause to become joined or linked
join.v.04	make contact or come together
joining.n.01	the act of bringing two things into contact (especially for communication)
joint.a.01	united or combined
joint.n.01	(anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
joint.n.02	a disreputable place of entertainment
joint.n.05	junction by which parts or objects are joined together
joint.n.06	marijuana leaves rolled into a cigarette for smoking
joint.v.01	fit as if by joints
joint.v.02	provide with a joint
joint.v.03	fasten with a joint
joint_chiefs_of_staff.n.01	the executive agency that advises the President on military questions; composed of the chiefs of the United States Army and the United States Navy and the United States Air Force and the commandant of the United States Marine Corps
joint_resolution.n.01	a resolution passed by both houses of Congress which becomes legally binding when signed by the Chief Executive (or passed over the Chief Executive's veto)
jointed_charlock.n.01	Eurasian weed having yellow or mauve or white flowers and podlike fruits
jointer.n.01	a long carpenter's plane used to shape the edges of boards so they will fit together
joke.n.01	a humorous anecdote or remark intended to provoke laughter
joke.v.01	tell a joke; speak humorously
joke.v.02	act in a funny or teasing way
joker.n.01	a person who enjoys telling or playing jokes
jollity.n.01	feeling jolly and jovial and full of good humor
jolly.n.01	a happy party
jolson.n.01	United States singer (born in Russia) who appeared in the first full-length talking film (1886-1950)
jolt.n.01	a sudden jarring impact
jolt.v.01	move or cause to move with a sudden jerky motion
jones.n.02	United States railroad engineer who died trying to stop his train from crashing into another train; a friend wrote a famous ballad describing the incident (1864-1900)
jordan.n.01	a river in Palestine that empties into the Dead Sea; John the Baptist baptized Jesus in the Jordan
jordan.n.02	an Arab kingdom in southwestern Asia on the Red Sea
jordanella.n.01	flagfishes
josephus.n.01	Jewish general who led the revolt of the Jews against the Romans and then wrote a history of those events (37-100)
joshua.n.02	a book in the Old Testament describing how Joshua led the Israelites into Canaan (the Promised Land) after the death of Moses
jostle.n.01	the act of jostling (forcing your way by pushing)
jostle.v.02	come into rough contact with while moving
joule.n.01	a unit of electrical energy equal to the work done when a current of one ampere passes through a resistance of one ohm for one second
journalism.n.01	newspapers and magazines collectively
journalist.n.01	a writer for newspapers and magazines
journey.n.01	the act of traveling from one place to another
joust.n.01	a combat between two mounted knights tilting against each other with blunted lances
joust.v.01	joust against somebody in a tournament by fighting on horseback
jovian_planet.n.01	any of the four outermost planets in the solar system; much larger than Earth and gaseous in nature (like Jupiter)
joy.n.01	the emotion of great happiness
joy.n.02	something or someone that provides a source of happiness
joyful.a.01	full of or producing joy
joyless.a.01	not experiencing or inspiring joy
joyous.a.01	full of or characterized by joy
joyride.v.01	ride in a car with no particular goal and just for the pleasure of it
judah.n.02	an ancient kingdom of southern Palestine with Jerusalem as its center
judaic.a.01	of or relating to or characteristic of the Jews or their culture or religion
judaism.n.01	Jews collectively who practice a religion based on the Torah and the Talmud
judaism.n.02	the monotheistic religion of the Jews having its spiritual and ethical principles embodied chiefly in the Torah and in the Talmud
judas_tree.n.01	small tree of the eastern Mediterranean having abundant purplish-red flowers growing on old wood directly from stems and appearing before the leaves: widely cultivated in mild regions; wood valuable for veneers
judder.v.01	shake or vibrate rapidly and intensively
jude.n.01	(New Testament) supposed brother of St. James; one of the Apostles who is invoked in prayer when a situation seems hopeless
judea.n.01	the southern part of ancient Palestine succeeding the kingdom of Judah; a Roman province at the time of Christ
judge.n.01	a public official authorized to decide questions brought before a court of justice
judge.v.01	determine the result of (a competition)
judge.v.05	put on trial or hear a case and sit as the judge at the trial of
judge_advocate.n.01	an officer assigned to the judge advocate general
judge_advocate.n.02	a staff officer serving as legal adviser to a military commander
judge_advocate_general.n.01	the senior legal advisor to a branch of the military
judgeship.n.01	the position of judge
judgment.n.01	an opinion formed by judging something
judgment.n.02	the act of judging or assessing a person or situation or event
judgment.n.03	(law) the determination by a court of competent jurisdiction on matters submitted to it
judgment.n.04	the cognitive process of reaching a decision or drawing conclusions
judgment.n.06	the capacity to assess situations or circumstances shrewdly and to draw sound conclusions
judgment_day.n.01	(New Testament) day at the end of time following Armageddon when God will decree the fates of all individual humans according to the good and evil of their earthly lives
judgment_in_personam.n.01	a judgment rendered against an individual (or corporation) for the payment of money damages
judgment_in_rem.n.01	a judgment pronounced on the status of some particular subject or property or thing (as opposed to one pronounced on persons)
judgment_of_dismissal.n.01	a judgment disposing of the matter without a trial
judgment_on_the_merits.n.01	judgment rendered through analysis and adjudication of the factual issues presented
judgmental.a.01	depending on judgment
judicial_branch.n.01	the branch of the United States government responsible for the administration of justice
judiciary.n.01	persons who administer justice
judiciary.n.02	the system of law courts that administer justice and constitute the judicial branch of government
judiciousness.n.01	good judgment
jug.n.01	a large bottle with a narrow mouth
jug.v.02	stew in an earthenware jug
jugale.n.01	the craniometric point at the union of the frontal and temporal processes of the zygomatic bone
juggernaut.n.01	a massive inexorable force that seems to crush everything in its way
juggle.v.01	influence by slyness
juggle.v.02	manipulate by or as if by moving around components
juggle.v.03	deal with simultaneously
jugglery.n.01	artful trickery designed to achieve an end
juglandaceae.n.01	trees having usually edible nuts: butternuts; walnuts; hickories; pecans
juglandales.n.01	coextensive with the family Juglandaceae
juglans.n.01	type genus of the Juglandaceae
jugular_vein.n.01	veins in the neck that return blood from the head
juice.n.01	the liquid part that can be extracted from plant or animal tissue by squeezing or cooking
juice.n.02	energetic vitality
juice.n.03	electric current
juice.n.04	any of several liquids of the body
juju.n.02	a charm superstitiously believed to embody magical powers
jujube.n.01	spiny tree having dark red edible fruits
jujube.n.02	dark red plumlike fruit of Old World buckthorn trees
jujutsu.n.01	a method of self-defense without weapons that was developed in China and Japan; holds and blows are supplemented by clever use of the attacker's own weight and strength
juke.n.01	a small roadside establishment in the southeastern United States where you can eat and drink and dance to music provided by a jukebox
july.n.01	the month following June and preceding August
jumada_i.n.01	the fifth month of the Islamic calendar
jumada_ii.n.01	the sixth month of the Islamic calendar
jumble.v.01	be all mixed up or jumbled together
jumble.v.02	assemble without order or sense
jump.n.05	descent with a parachute
jump.n.06	the act of jumping; propelling yourself off the ground
jump.v.01	move forward by leaps and bounds
jump.v.04	increase suddenly and significantly
jump.v.11	cause to jump or leap
jump.v.13	bypass
jump_ball.n.01	(basketball) the way play begins or resumes when possession is disputed; an official tosses the ball up between two players who jump in an effort to tap it to a teammate
jump_off.v.01	set off quickly, usually with success
jumper.n.01	a person who jumps
jumper.n.02	an athlete who competes at jumping
jumper.n.05	a small connector used to make temporary electrical connections
jumper_cable.n.01	a jumper that consists of a short piece of wire
jumping-off_place.n.01	a place from which an enterprise or expedition is launched
jumping_mouse.n.01	any of several primitive mouselike rodents with long hind legs and no cheek pouches; of woodlands of Eurasia and North America
jumping_plant_louse.n.01	small active cicada-like insect with hind legs adapted for leaping; feeds on plant juices
juncaceae.n.01	tufted herbs resembling grasses: rushes
junco.n.01	small North American finch seen chiefly in winter
junction.n.01	the place where two or more things come together
junction.n.02	the state of being joined together
junction.n.04	something that joins or connects
junction.n.05	an act of joining or adjoining things
juncture.n.01	an event that occurs at a critical time
juncus.n.01	type genus of the Juncaceae; perennial tufted glabrous marsh plants of temperate regions: rushes
jund-ul-islam.n.01	an Islamic extremist group of Kurds who oppose secular control with bombings and assassinations; believed to have ties with al-Qaeda
june.n.01	the month following May and preceding July
june_beetle.n.01	any of various large usually brown North American leaf-eating beetles common in late spring; the larvae feed on roots of grasses etc.
juneberry.n.01	any of various North American trees or shrubs having showy white flowers and edible blue-black or purplish fruit
jung.n.01	Swiss psychologist (1875-1961)
jungermanniales.n.01	large order of chiefly tropical liverworts
jungle_fowl.n.01	small Asiatic wild bird; believed to be ancestral to domestic fowl
junior.a.01	younger; lower in rank; shorter in length of tenure or service
junior.n.03	the younger of two persons
junior_high_school.n.01	a secondary school usually including 7th and 8th grades
juniper.n.02	coniferous shrub or small tree with berrylike cones
juniper_berries.n.01	berrylike cone of a common juniper; used in making gin
juniperus.n.01	junipers
junketeer.v.01	go on a pleasure trip
jupati.n.01	a tall Brazilian feather palm with a terminal crown of very large leathery pinnatisect leaves rising from long strong stems used for structural purposes
jupiter's_beard.n.01	silvery hairy European shrub with evergreen foliage and pale yellow flowers
jupiter.n.01	the largest planet and the 5th from the sun; has many satellites and is one of the brightest objects in the night sky
jupiter.n.02	(Roman mythology) supreme god of Romans; counterpart of Greek Zeus
jurassic.n.01	from 190 million to 135 million years ago; dinosaurs; conifers
jurisdiction.n.02	in law; the territory within which power can be exercised
jurisprudence.n.01	the branch of philosophy concerned with the law and the principles that lead courts to make the decisions they do
jurist.n.01	a legal scholar versed in civil law or the law of nations
juror.n.01	someone who serves (or waits to be called to serve) on a jury
jury.n.01	a body of citizens sworn to give a true verdict according to the evidence presented in a court of law
jury.n.02	a committee appointed to judge a competition
just-noticeable_difference.n.01	(psychophysics) the difference between two stimuli that (under properly controlled experimental conditions) is detected as often as it is undetected
just.a.01	used especially of what is legally or ethically right or proper or fitting
justice.n.01	the quality of being just or fair
justice.n.02	judgment involved in the determination of rights and the assignment of rewards and punishments
justiciar.n.01	formerly a high judicial officer
justification.n.01	something (such as a fact or circumstance) that shows an action to be reasonable or necessary
justification.n.02	a statement in explanation of some action or belief
justification.n.03	the act of defending or explaining or making excuses for by reasoning
justify.v.01	show to be reasonable or provide adequate ground for
justify.v.02	show to be right by providing justification or proof
jutland.n.01	peninsula in northern Europe that forms the continental part of Denmark and a northern part of Germany
jutland.n.02	an indecisive naval battle in World War I (1916); fought between the British and German fleets off the northwestern coast of Denmark
juvenescence.n.01	the process of growing into a youth
juvenile.n.01	a young person, not fully developed
juvenile_body.n.01	the body of a young person
juxtapose.v.01	place side by side
juxtaposition.n.01	the act of positioning close together (or side by side)
k.n.07	street names for ketamine
k2.n.01	a mountain peak in the Karakoram Range in northern Kashmir; the 2nd highest peak in the world (28,250 feet high)
kaaba.n.01	(Islam) a black stone building in Mecca that is shaped like a cube and that is the most sacred Muslim pilgrim shrine; believed to have been given by Gabriel to Abraham; Muslims turn in its direction when praying
kabbalah.n.02	an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
kabbalism.n.01	the doctrines of the Kabbalah
kachin.n.01	Tibeto-Burman languages spoken in northernmost Burma and adjacent China and India
kadai.n.01	a family of Sino-Tibetan languages spoken in southeastern Asia
kaffir.n.02	an offensive and insulting term for any Black African
kahane_chai.n.01	a terrorist organization founded for Jewish defense; fights antisemitism and hopes to restore the biblical state of Israel
kahikatea.n.01	New Zealand evergreen valued for its light easily worked wood
kakatoe.n.01	a genus of Psittacidae
kaki.n.02	blackish stilt of New Zealand sometimes considered a color phase of the white-headed stilt
kalahari.n.01	a desert in southwestern Africa - largely Botswana
kale.n.02	a hardy cabbage with coarse curly leaves that do not form a head
kale.n.03	coarse curly-leafed cabbage
kalmia.n.01	any plant of the genus Kalmia
kalon_tripa.n.01	the chairman of the Kashag and essentially head of the Tibetan government-in-exile
kalotermitidae.n.01	primitive termites of warm regions
kamarupan.n.01	the Tibeto-Burman language spoken in northeastern India and adjacent regions of western Burma
kamet.n.01	a mountain in the Himalayas in northern India (25,450 feet high)
kamikaze.n.01	a fighter plane used for suicide missions by Japanese pilots in World War II
kamikaze.n.02	a pilot trained and willing to cause a suicidal crash
kanamycin.n.01	antibiotic (trade name Kantrex) used to treat severe infections
kananga.n.01	a city in southwestern Congo; former name (until 1966) was Luluabourg
kanara.n.01	a historical region of southwestern India on the west coast
kanchenjunga.n.01	a mountain the Himalayas on the border between Nepal and Tibet (28,208 feet high)
kandahar.n.01	a city in southern Afghanistan; an important trading center
kandy.n.01	a city of central Sri Lanka that was the last capital of the ancient kings of Ceylon; a resort and religious center
kangaroo.n.01	any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
kangaroo_paw.n.01	sedgelike spring-flowering herb having clustered flowers covered with woolly hairs; Australia
kangaroo_rat.n.01	any of various leaping rodents of desert regions of North America and Mexico; largest members of the family Heteromyidae
kansas.n.01	a state in midwestern United States
kansas.n.03	a river in northeastern Kansas; flows eastward to become a tributary of the Missouri River
kansas_city.n.01	a city in western Missouri situated at the confluence of the Kansas River and the Missouri River; adjacent to Kansas City, Kansas
kansas_city.n.02	a city of northeast Kansas on the Missouri River adjacent to Kansas City, Missouri
kaopectate.n.01	trade name for a fixed-combination antidiarrheal drug that use kaolin as the adsorbent and pectin as the emollient
kaph.n.01	the 11th letter of the Hebrew alphabet
kaplan_group.n.01	a Turkish terrorist group of fundamentalist Muslims with ties to al-Qaeda that operates in Germany; seeks the violent overthrow of the Turkish government and the establishment of an Islamic nation modeled on Iran
kapok.n.01	a plant fiber from the kapok tree; used for stuffing and insulation
kapok.n.02	massive tropical tree with deep ridges on its massive trunk and bearing large pods of seeds covered with silky floss; source of the silky kapok fiber
kara_kum.n.01	a desert in Turkmenistan to the south of the Aral Sea
karachi.n.01	the largest city in Pakistan; located in southeastern Pakistan; an industrial center and seaport on the Arabian Sea; former capital of Pakistan
karakoram.n.01	a mountain range in northern Kashmir; an extension of the Hindu Kush; contains the 2nd highest peak
karelia.n.01	a region in Finland and Russia between the Gulf of Finland and the White Sea
karloff.n.01	United States film actor (born in England) noted for his performances in horror films (1887-1969)
karnataka.n.01	state in southern India; formerly Mysore
karyokinesis.n.01	organic process consisting of the division of the nucleus of a cell during mitosis or meiosis
kasai.n.01	a river of southwestern Africa that rises in central Angola and flows east and then north (forming part of the border between Angola and Congo) and continuing northwest through Congo to empty into the Congo River on the border between Congo and Republic of the Congo
kashmir.n.01	an area in southwestern Asia whose sovereignty is disputed between Pakistan and India
kat.n.01	the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant
katowice.n.01	an industrial city of southern Poland
katsuwonus.n.01	oceanic bonitos; in some classifications placed in its own family Katsuwonidae
katydid.n.01	large green long-horned grasshopper of North America; males produce shrill sounds by rubbing together special organs on the forewings
kaunas.n.01	a city in central Lithuania
kauri.n.02	tall timber tree of New Zealand having white straight-grained wood
kauri_pine.n.01	any of various trees of the genus Agathis; yield dammar resin
kava.n.01	an alcoholic drink made from the aromatic roots of the kava shrub
kayak.v.01	travel in a small canoe
kazakhstan.n.01	a landlocked republic to the south of Russia and to the northeast of the Caspian Sea; the original Turkic-speaking inhabitants were overrun by Mongols in the 13th century; an Asian soviet from 1936 to 1991
kazakhstani.n.01	a native or inhabitant of Kazakhstan
kean.n.01	English actor noted for his portrayals of Shakespeare's great tragic characters (1789-1833)
keaton.n.01	United States comedian and actor in silent films noted for his acrobatic skills and deadpan face (1895-1966)
kedgeree.n.01	a dish of rice and hard-boiled eggs and cooked flaked fish
keen.n.01	a funeral lament sung with loud wailing
keep.n.02	the main tower within the walls of a medieval castle or fortress
keep.v.01	keep in a certain state, position, or activity; e.g., "keep clean"
keep.v.03	retain possession of
keep.v.07	look after; be the keeper of; have charge of
keep.v.12	fail to spoil or rot
keep.v.15	maintain in safety from injury, harm, or danger
keep.v.21	hold and prevent from leaving
keep_away.v.01	prevent from coming close
keep_one's_eyes_peeled.v.01	pay attention; be watchful
keep_open.v.01	retain rights to
keeper.n.01	someone in charge of other people
keeping.n.01	conformity or harmony
